index,x,y,speed,timestamp,interpolation_error,x_GPS,y_GPS
0,120558.7126364244,6432977.242621139,0,2021-03-07 06:00:00,20.71235893289073,120578.19346238313,6432970.207052041
1,120580.09203932274,6432977.84723748,0,2021-03-07 06:00:00,7.872549011492405,120578.19346238313,6432970.207052041
2,120601.4714422211,6432978.451853822,0,2021-03-07 06:00:00,24.694961059838146,120578.19346238313,6432970.207052041
3,120622.85084511944,6432979.056470163,1.0381400273424137,2021-03-07 06:01:00,22.634033695736417,120643.16770107498,6432969.080256181
4,120643.06651490486,6432976.8028906435,1.0381400273424137,2021-03-07 06:01:00,7.723297332394697,120643.16770107498,6432969.080256181
5,120663.28218469028,6432974.549311125,1.0381400273424137,2021-03-07 06:01:00,20.844735860384954,120643.16770107498,6432969.080256181
6,120683.4978544757,6432972.295731605,1.5024055081488181,2021-03-07 06:02:00,20.080686825769778,120702.7013308004,6432966.425426635
7,120722.0813023471,6432974.824140055,1.5024055081488181,2021-03-07 06:02:00,21.121592843929786,120702.7013308004,6432966.425426635
8,120760.6647502185,6432977.352548505,1.5024055081488181,2021-03-07 06:02:00,58.98440457447189,120702.7013308004,6432966.425426635
9,120799.24819808989,6432979.880956955,2.073238708007532,2021-03-07 06:03:00,23.29252556939074,120822.51371857403,6432981.002252636
10,120839.55722956859,6432988.169771177,2.073238708007532,2021-03-07 06:03:00,18.48931012937377,120822.51371857403,6432981.002252636
11,120879.86626104728,6432996.458585398,2.073238708007532,2021-03-07 06:03:00,59.398757147082854,120822.51371857403,6432981.002252636
12,120920.17529252598,6433004.74739962,1.946255782793807,2021-03-07 06:04:00,27.780811608945616,120947.8040933748,6433007.64961555
13,120956.47270705139,6433015.015070255,1.946255782793807,2021-03-07 06:04:00,11.375182903059898,120947.8040933748,6433007.64961555
14,120992.7701215768,6433025.28274089,1.946255782793807,2021-03-07 06:04:00,48.29980125742521,120947.8040933748,6433007.64961555
15,121029.06753610221,6433035.550411525,1.6110776370665492,2021-03-07 06:05:00,19.57811227168547,121047.08862714595,6433043.201735444
16,121050.79325742293,6433055.184412822,1.6110776370665492,2021-03-07 06:05:00,12.542282193790403,121047.08862714595,6433043.201735444
17,121072.51897874367,6433074.818414119,1.6110776370665492,2021-03-07 06:05:00,40.574833983682055,121047.08862714595,6433043.201735444
18,121094.24470006439,6433094.452415416,1.5430796112908396,2021-03-07 06:06:00,18.228250112873976,121106.75462828767,6433107.710273389
19,121102.6934688158,6433124.706072933,1.5430796112908396,2021-03-07 06:06:00,17.47427304367297,121106.75462828767,6433107.710273389
20,121111.14223756724,6433154.959730451,1.5430796112908396,2021-03-07 06:06:00,47.45273762244836,121106.75462828767,6433107.710273389
21,121119.59100631866,6433185.213387968,1.7178814744825364,2021-03-07 06:07:00,19.781528071134055,121129.56364985304,6433202.297159032
22,121117.52393321005,6433219.644917674,1.7178814744825364,2021-03-07 06:07:00,21.11633270145137,121129.56364985304,6433202.297159032
23,121115.45686010142,6433254.076447381,1.7178814744825364,2021-03-07 06:07:00,53.66652792009675,121129.56364985304,6433202.297159032
24,121113.3897869928,6433288.507977087,1.9765857880527042,2021-03-07 06:08:00,22.52833112285071,121118.0967685784,6433310.539092073
25,121099.09986686117,6433327.271369667,1.9765857880527042,2021-03-07 06:08:00,25.31504272803851,121118.0967685784,6433310.539092073
26,121084.80994672953,6433366.034762246,2.23352370407169,2021-03-07 06:09:00,64.46048398908907,121064.94251219001,6433427.357180992
27,121070.5200265979,6433404.798154825,2.23352370407169,2021-03-07 06:09:00,23.23829444181143,121064.94251219001,6433427.357180992
28,121046.32646858267,6433445.211074134,2.23352370407169,2021-03-07 06:09:00,25.79377017660022,121064.94251219001,6433427.357180992
29,121022.13291056747,6433485.623993443,2.21863667549161,2021-03-07 06:10:00,68.52821735694731,120996.8604757465,6433549.321878905
30,120997.93935255225,6433526.036912752,2.21863667549161,2021-03-07 06:10:00,23.309946887813044,120996.8604757465,6433549.321878905
31,120982.6997200379,6433565.856701881,2.21863667549161,2021-03-07 06:10:00,21.769873060322176,120996.8604757465,6433549.321878905
32,120967.46008752356,6433605.676491008,2.21863667549161,2021-03-07 06:10:00,63.56276530256051,120996.8604757465,6433549.321878905
33,120952.22045500921,6433645.4962801365,1.8624493142248106,2021-03-07 06:11:00,23.200934146363302,120954.51489288914,6433668.583482221
34,120945.65297492266,6433679.225768196,1.8624493142248106,2021-03-07 06:11:00,13.848893126589443,120954.51489288914,6433668.583482221
35,120939.08549483611,6433712.955256255,1.8624493142248106,2021-03-07 06:11:00,46.977874103181186,120954.51489288914,6433668.583482221
36,120932.51801474956,6433746.684744315,1.4685931321893173,2021-03-07 06:12:00,17.610222719222946,120936.51503435345,6433763.835364669
37,120929.91737658234,6433769.906619109,1.4685931321893173,2021-03-07 06:12:00,8.966003488010301,120936.51503435345,6433763.835364669
38,120927.31673841513,6433793.128493904,1.4685931321893173,2021-03-07 06:12:00,30.703355982317532,120936.51503435345,6433763.835364669
39,120924.71610024791,6433816.350368698,1.337199975367833,2021-03-07 06:13:00,30.695547857704355,120939.84455699175,6433843.058915174
40,120930.63662778596,6433841.588157446,1.337199975367833,2021-03-07 06:13:00,9.324649513620813,120939.84455699175,6433843.058915174
41,120936.55715532402,6433866.825946194,1.337199975367833,2021-03-07 06:13:00,23.99330684282047,120939.84455699175,6433843.058915174
42,120942.47768286207,6433892.063734942,1.3678167156290155,2021-03-07 06:14:00,33.607830020085764,120956.90885815016,6433922.415463368
